Job Title,Required Skills,Role Category,Industry,Role
 Digital Media Planner," Media Planning, Digital Media",Advertising,"Advertising, PR, MR, Event Management",Media Planning Executive/Manager
 Online Bidding Executive," pre sales, closing, software knowledge, clients, requirements, negotiating, client, online bidding, good communication, technology",Retail Sales,"IT-Software, Software Services",Sales Executive/Officer
 Trainee Research/ Research Executive- Hi- Tech Operations," Computer science, Fabrication, Quality check, Intellectual property, Electronics, Support services, Research, Management, Human resource management, Research Executive",R&D,"Recruitment, Staffing",R&D Executive
 Technical Support, Technical Support,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services",Technical Support Engineer
 Software Test Engineer -hyderabad," manual testing, test engineering, test cases, web testing, web technologies",Programming & Design,"IT-Software, Software Services",Testing Engineer
 Opening For Adobe Analytics Specialist," adobe experience manager, digital, digital marketing, adobe analytics, data analytics, aem, adobe, sitecatalyst",Programming & Design,"IT-Software, Software Services",System Analyst
 Sales- Fresher-for Leading Property Consultant," channel partners, real estate, negotiation, property, Residential Sales",Retail Sales,"Real Estate, Property",Sales Executive/Officer
 Opportunity For Azure Devops Architect For Hyderabad Location," TFS, Azure, Git, VSTS, Docker, DynaTrace, Splunk, AWS",Programming & Design,"IT-Software, Software Services",Technical Architect
 BDE- PUNE, Bde,Institutional Sales,"IT-Software, Software Services",Sales Executive/Officer
 Technical Support/ Product Support," technical support, support services, application support, communication skills, voice based process, semi voice, semi voice process",Voice,"IT-Software, Software Services",Associate/Senior Associate -(Technical)
 Executive Assistant To Chairman," secretary, executive assistant, ea",Corporate Planning/Consulting/Strategy,"Courier, Transportation, Freight , Warehousing",Corporate Planning/Strategy Manager
 SEO Executive," website, web analytics, xml, link building, google analytics, case studies, seo, social media, tracking, maintaining",Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services",Webmaster
 Workflow Coordinator," operations, workflow, tat, monitoring, mts, email",Operations,"BPO, Call Centre, ITeS",Process Flow Analyst
Oracle IDAM,"Oracle IDAM,OIM,OAM",Programming & Design,IT-Software / Software Services,Software Developer
 Looking Facebook /social Media Manager For our Digital Marketing Ageny," digital marketing, seo, social media marketing, content marketing, email marketing, sem, google analytics, campaign management, facebook, media management",Online/Digital Marketing,"Advertising, PR, MR, Event Management",Social Media Marketing Manager
 Wanted Engineering Fresher For MNC Chennai," instrumentation engineering, electrical engineering, Engineering, fresher, Trainee, immediate, Mechanical Engineering, electronics engineering, undergraduate",,Other,Other
 Tooling &amp; Sampling," Help Desk, Customer Service, customer relationship, access controls, Asset Management, Vendor Management",Engineering Design,"Industrial Products, Heavy Machinery",Senior Design Engineer
 Account Manager," Report Generation, Policies, analytical, procedures, Analysts, Data Entry, analytical skills",Accounts,"IT-Software, Software Services",Accounts Manager
 Magento Developer," Copyright, Email, jQuery, XML, Javascript, CakePHP, Customer service, Open source, Facebook, CSS3",Programming & Design,"Textiles, Garments, Accessories",Software Developer
 Looking For Trained Freshers in MS Dynamics CRM- Hyderabad," C#, MS Dynamics CRM, Microsoft Dynamics, ms dynamics",Programming & Design,"IT-Software, Software Services",Software Developer
 Job Openings Kotak Life/ Max Life/ Aditya Birla Health for Sales Mgr," sales manager, business development manager, relationship manager, brokers, insurance sales, channel sales, direct sale, direct marketing, sales, Marketing Executive, Territory Sales Manager",Retail/Personal Banking,Insurance,Sales Officer
 Business Development / Corporate Sales," lead generation, business development, corporate sales",Retail Sales,"IT-Software, Software Services",Sales/Business Development Manager
 Business Development Manager (BDM)," contract management, closing, it services, relationship building, managed services, selling, market research, business development manager, sales",Retail Sales,"IT-Software, Software Services",Sales/Business Development Manager
 QA Executive, QA Executive,QA/Testing/Documentation,"Pharma, Biotech, Clinical Research",Quality Assurance/Quality Control Executive
 Back End Java Developer - Restful Services/soap," Java EE, JMS, Core Java, JUnit, Weblogic, HTML, JPA, JSON, SOAP, SQL",Programming & Design,"IT-Software, Software Services",Software Developer
 Product Engineer," Conceptualization, Architecting, Continuous improvement, SIDE, development, Front end, it",Programming & Design,"IT-Software, Software Services",Software Developer
 Opening For Articulate tool Developer - Articulate / Captivate)chennai, Articulate Storyline,Programming & Design,"Animation, Gaming",Graphic/Web Designer
 Urgent Hiring for Area Sales Manager," Area Sales Management, Retail Sales, FMCG, Chocolate, confectionary, ASM, Area Sales Manager, area business manager",Retail Sales,"FMCG, Foods, Beverage",Area Sales Manager
 Software Engineer - C++ Development - Ooad/oops," C#, Java, OOP, C++, Multithreading, UML, OOAD, OOPS, .Net, debugging",Programming & Design,"IT-Software, Software Services",Software Developer
 Linux Administrator Lead," qmail, workflow, nagios, windows server, networking, mysql, monitoring, redhat, maintaining, centos",Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services",System Administrator
 Hiring for Tech Pm/scrum Master for Hyderabad Location," Java, JPA, Hibernate, Project Management, JDBC, Scrum Master, Microservices, Agile, SOAP, Rest",Project Management,"IT-Software, Software Services",Project Manager-IT/Software
 Assistant Professor (Grade I)-Theoretical Computer Science,vide,,"Education, Teaching, Training",
 US Based Financial Company Looking For Java API Engineers For HYD," Java, java api, Banking, j2ee, API, finance, core java, microservices",Programming & Design,"IT-Software, Software Services",Software Developer
 Strong Partner Ecosystem," GIS, ISO 27001, HR, information system, process, ISO 9001, Information security management, GIS software, Management, Edge",Programming & Design,"IT-Software, Software Services",Project Lead
 Wordpress Web Developer,vide,Programming & Design,"Recruitment, Staffing",Software Developer
 Senior Executive- Contract Logistics- Bom WP-A," Administration, Administrative Support, Contract Logistics, Staff Development, Site Management, Quality Improvement, warehousing, Warehouse Operations",Logistics,"Courier, Transportation, Freight , Warehousing",Logistics Executive
 Accounts Manager," filing, tds, service industry, pf, esi, returns, coaching, payroll, invoice, tally",Accounts,"Security, Law Enforcement",Accounts Executive/Accountant
 Technical Sales Executive with fixed pay & lucrative incentives/UK Inb," Outbound, Antivirus, Technical support, Sales, Spot, Inbound calls, pay, Medical, Comp",Voice,"IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 nutanix sme ," Troubleshooting, DNS, DHCP, Monitoring, Virtualization, Shell scripting, Python, VMS, Open source, Archiving",Technical Support,"IT-Software, Software Services",Technical Support Manager
 System Architect - 3g/4g Wireless Network Architecture & Migration," 4G, 3GPP, 3G, System Architect, LTE, Radio Access Network, PhD, IEEE",Programming & Design,"IT-Software, Software Services",Technical Architect
"Excellent Opportunity For ” Linux Device Driver ” ,for Hyderabad and Ban","arm processor,c,device drivers,embedded linux,linux kernel,ipc",Programming & Design,IT-Software / Software Services,Software Developer
 Java Developer," JMS, Core Java, Sonar, Weblogic, XML, J2Ee, SVN, Spring, Oracle 11G, SQL",,Other,Other
 Regional Representative," market, presentation, strong analytical skills, english, presentation skills, developing, customer interaction",Institutional Sales,"IT-Software, Software Services",Sales/Business Development Manager
 Hiring For Record To Report," fixed assets, accounts payable, record to report, general accounting, general ledger",Voice,"BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Product & Regional Sales Manager," Team management, Regional sales, Management",Retail Sales,"Strategy, Management Consulting Firms",Regional Manager
 Senior Manager/associate Director - Mandarin," Commercial Activities, Commercial Sales, Online Sales, Senior Management, Budgeting, Strategy Implementation, Marketing, E - commerce",Senior Management,"Internet, Ecommerce",Head / VP/ GM/ National Manager After Sales
